Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,moving_average,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-04-19,223.2991986819773,225.6377040181465,220.96069334580804,225.0951690673828,799549,0.0,0,,,,,,,,,,230.2164459228516
2017-04-20,235.67459481790704,246.384947761462,232.37262600625672,243.78453063964844,1399787,0.0,0,0.08302871025486525,1.0830287102548652,,,,,,,,228.73556518554688
2017-04-21,244.1399865516161,249.0508483500681,241.78278316499512,242.74624633789065,1090843,0.0,0,-0.004259024553500246,1.078416064385744,,,,,,,,226.964096069336
2017-04-24,246.6187886013183,246.89942639391515,243.77515787102269,244.01837158203125,756375,0.0,0,0.005240555779263634,1.0840675639244115,,,,,,,,226.00802612304688
2017-04-25,244.56093162246424,247.1613487562596,244.4019006783688,246.0201568603516,477971,0.0,0,0.008203420362746794,1.0929606258529023,,,,,,,,226.49545288085932
2017-04-26,245.9359455917348,246.6842558925012,244.69184474760567,245.384033203125,358753,0.0,0,-0.0025856566605949594,1.0901346049308978,,,,,,,,222.92437744140625
2017-04-27,245.8611460050463,245.8611460050463,243.26541023783992,243.7097320556641,408726,0.0,0,-0.006823187008565212,1.0826964126569458,,,,,,,,221.6777801513672
2017-04-28,242.48430654286184,242.7368548435209,227.90137636192912,233.5044403076172,1836647,0.0,0,-0.04187478137194778,1.0373587370847441,,,,,,,,225.192611694336
2017-05-01,233.8224868556955,237.74182432017804,232.4661565331949,237.10574340820312,691795,0.0,0,0.015422846331494267,1.0533577614774352,,,,235.00577084793807,,,,223.2993011474609
2017-05-02,236.8251050818798,239.44423390779497,235.4968357663529,239.3694000244141,697874,0.0,0,0.009547034094040674,1.0634142039394827,,,,238.47611235599862,,,,226.8328399658203
2017-05-03,239.12619235496769,239.1558518637028,235.15073342860623,237.84469604492188,1046725,0.0,0,-0.006369669553989432,1.0566406068613694,,,,238.47611235599862,,,,226.22366333007807
2017-05-04,239.77164162706453,240.5199805405746,236.9093273532444,237.29283142089844,500443,0.0,0,-0.002320272989897565,1.05418891220124,,,,237.53136255909436,,,,229.0635986328125
2017-05-05,238.1440455835413,239.01397706218992,235.78684228736225,238.9859161376953,360422,0.0,0,0.007135001536535013,1.061710551709594,,,,237.53136255909436,,,,230.84445190429688
2017-05-08,238.46205659431368,241.2495652001654,237.3863498610721,240.73507690429688,501926,0.0,0,0.007319095597222436,1.0694813127341363,,,,237.29281612721516,,,,228.0513458251953
2017-05-09,241.03443452803063,244.35512949996607,240.81931028938868,243.4010009765625,399652,0.0,0,0.011074098991089132,1.0813248546604741,,,,236.8812611834877,,,,234.3592529296875
2017-05-10,242.2316837615809,244.10248768307088,241.7359218642342,241.85752868652344,418972,0.0,0,-0.0063412733877281635,1.0744678781361265,,,,236.1282529309476,,,,238.9144897460937
2017-05-11,240.5172465683707,240.6484805017474,233.459489635894,235.35281372070312,722268,0.52,0,-0.026894821100447164,1.0455702567754783,,,,238.41064301658048,,,,241.2670745849609
2017-05-12,234.5560994105684,235.39965208930045,227.5076963348472,228.2012939453125,904763,0.0,0,-0.030386378910589262,1.0137991627754566,,,,235.93141291740665,,,,241.91378784179688
2017-05-15,227.66707511125992,230.6664058556057,223.85232330991852,229.4947967529297,878023,0.0,0,0.005668253607392648,1.01954563353703,,,,234.10372640494228,,,,242.7011260986328
2017-05-16,230.30083459115707,232.1847766358416,228.96987423707304,229.69158935546875,488648,0.0,0,0.0008575035483306959,1.0204198975354732,238.17976837158204,250.32751079647446,226.03202594668963,234.10372640494228,,,,243.3853454589844
2017-05-17,226.5798138407817,227.4139988802565,221.8183931282975,223.25244140625,647718,0.0,0,-0.028033886514031603,0.991813561931304,238.0876319885254,250.65624389012643,225.51902008692437,233.08676131413176,,,,244.86627197265625
2017-05-18,222.18393296802,223.5711140154241,218.20983010301595,219.94381713867188,753331,0.0,0,-0.01482010340732376,0.977114782382696,236.89559631347657,251.4634503324104,222.32774229454276,231.282479801491,,,,244.54757690429688
2017-05-19,220.53431437766912,221.3310142739868,219.7282467573704,220.42184448242188,588761,0.0,0,0.002173406599780048,0.9792384500994692,235.7793762207031,251.75229530893733,219.8064571324689,231.282479801491,,,,243.6571655273437
2017-05-22,221.4715538954385,223.64606674720085,220.3655620256345,223.327392578125,431504,0.0,0,0.013181761102334155,0.9921465374109003,234.7448272705078,251.12869553401393,218.3609590070017,231.15615889304343,,,,246.131576538086
2017-05-23,223.0649918204072,223.0649918204072,218.71597966859912,221.3966217041016,542051,0.0,0,-0.008645472692508926,0.983568961614747,233.5136505126953,250.0249084755232,217.0023925498674,229.42915530238167,,,,241.9325561523437
2017-05-24,221.396620440096,223.4773849099417,219.33457711542985,222.80255126953125,433787,0.0,0,0.006350275603160371,0.989814895595715,232.38457641601562,248.5763520641643,216.19280076786694,226.80474109615818,233.63033922654202,,,240.5922241210937
2017-05-25,228.2294019078892,233.54381788701525,227.6014212862145,230.2164459228516,1072595,0.0,0,0.03327562728108768,1.0227516071388267,231.709912109375,247.05105872005126,216.36876549869876,225.8768239950156,233.63033922654202,,,242.03564453125
2017-05-26,230.0196583927272,230.02902611618552,226.1111724304364,228.73556518554688,439072,0.0,0,-0.0064325584185283,1.0161726976782626,231.4714683532715,246.84216997903528,216.1007667275077,225.8768239950156,233.63033922654202,,,243.01980590820312
2017-05-30,228.6980831582915,229.63537038435007,226.1580284828508,226.964096069336,609106,0.0,0,-0.007744615992593462,1.0083028303525867,230.96438598632812,246.22570722125275,215.7030647514035,225.8768239950156,232.6855894296378,,,238.38021850585932
2017-05-31,227.10465023193544,227.71388108069627,222.0058065003795,226.00802612304688,713776,0.0,0,-0.004212428145450087,1.0040554271308726,230.29631729125975,245.18881469673445,215.40381988578505,225.8768239950156,232.6855894296378,,,240.1048583984375
