Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,moving_average,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-04-20,61.05256152311522,61.74633664645937,60.792391716615526,61.5642204284668,191200,0.0,0,,,,,,,,,,59.32266616821289
2017-04-21,61.598911875307046,61.76368653172571,60.7056723268351,60.94849395751953,197500,0.0,0,-0.010001368760328866,0.9899986312396711,,,,,,,,58.93065643310547
2017-04-24,61.87643138943739,61.93713680508843,61.173982063133394,61.61626815795898,307200,0.0,0,0.01095636917468168,1.0008454217259626,,,,,,,,59.37493515014648
2017-04-25,62.13659069547498,62.68293934364307,61.624925179171214,62.08455276489258,233200,0.0,0,0.007600015725280684,1.008451862669655,,,,,,,,60.62062072753906
2017-04-26,62.084548037863726,62.9170886998642,61.781021034213786,62.31002807617188,343600,0.0,0,0.003631745760223959,1.0121143034462956,,,,,,,,60.960357666015625
2017-04-27,62.873732329262346,64.28730489490144,62.041198184800685,62.70895767211914,394900,0.0,0,0.006402333753719125,1.0185941970138717,,,,,,,,60.52480316162109
2017-04-28,62.99514171416968,63.038505554451774,62.29269249307268,62.3620719909668,416000,0.0,0,-0.005531676717799638,1.0129596632093643,,,,,,,,59.69722366333008
2017-05-01,62.4661540815857,63.073214952688176,62.02386791521599,62.95179748535156,289500,0.0,0,0.009456476918697998,1.0225386928840756,,,,,,,,60.028263092041016
2017-05-02,62.86506506034864,63.52415714405818,62.66560724821685,63.19461441040039,267100,0.0,0,0.0038571881145303966,1.0264828169769156,,,,62.49648861086827,,,,60.40283584594727
2017-05-03,62.92576976049476,63.38539741046053,62.752327611358425,62.90842819213867,386900,0.0,0,-0.004528648856106043,1.0218342367420006,,,,62.49648861086827,,,,61.45690155029297
2017-05-04,63.185930768784274,63.185930768784274,61.7550100810378,62.08455276489258,314700,0.0,0,-0.01309642365772934,1.0084518626696548,,,,62.73064347901742,,,,62.423824310302734
2017-05-05,62.2059806213564,62.2059806213564,61.6943150192675,62.17995834350586,232600,0.0,0,0.0015367039684504036,1.0100015546490104,,,,62.95611503703633,,,,62.07537841796875
2017-05-08,62.197281932934445,62.24931323527171,61.39076366474965,62.11922836303711,149600,0.0,0,-0.000976680944899555,1.0090151053762657,,,,62.83903427982554,,,,61.93598556518555
2017-05-09,62.145271941209,62.34472974616009,61.18265281952341,61.49485397338867,265000,0.0,0,-0.010051225781483764,0.9988732667352013,,,,62.734978857212425,,,,62.02310180664063
2017-05-10,61.30405017028852,61.77235179815916,61.14794962766497,61.5728874206543,183700,0.0,0,0.0012689427199776837,1.0001407796952053,,,,62.336053385861575,,,,62.07537841796875
2017-05-11,61.40812338467731,61.581572137741496,60.61895306151384,61.1566276550293,515100,0.0,0,-0.006760439262514906,0.9933793887001116,,,,62.07155510278601,,,,62.07537841796875
2017-05-12,61.12194218061582,61.15662531350733,60.07259545983602,60.26338577270508,256800,0.0,0,-0.014605806706066149,0.9788702813629676,,,,61.7983763019471,,,,61.23039245605469
2017-05-15,60.3847915541098,60.818403459438045,60.04657479726518,60.19400787353516,252700,0.0,0,-0.0011512446285640854,0.9777433622094874,,,,61.71598610386285,,,,60.2808723449707
2017-05-16,60.2980798009354,60.2980798009354,59.30944503354192,59.448204040527344,233800,0.0,0,-0.012390001253525407,0.9656291207260858,,,,61.2476879011631,,,,60.080528259277344
2017-05-17,59.44819821199879,59.44819821199879,57.71375049309458,58.30346298217773,368600,0.0,0,-0.019256108352225687,0.9470348617493198,61.573330116271975,64.00949811169066,59.13716212085329,60.02924011962733,,,,60.16763687133789
2017-05-18,58.11180873599636,58.956787392641296,57.86789874151098,58.39056396484375,350500,0.3,0,0.0014939246866458866,0.9484496605084014,61.41464729309082,64.22200433917948,58.60729024700217,60.02924011962733,,,,60.04566955566406
2017-05-19,58.32959928639278,59.17457812875429,58.21635723436354,58.92195510864258,460400,0.0,0,0.009100633864724594,0.9570811536078107,61.313320350646975,64.32199232159036,58.304648379703586,60.02924011962733,,,,59.209415435791016
2017-05-22,58.93938359372223,59.93244977294749,58.93938359372223,59.36622619628906,173900,0.0,0,0.007539992297053377,0.9642975381336685,61.20081825256348,64.32314195436143,58.07849455076552,59.743051145626865,,,,59.68853759765625
2017-05-23,59.56657803898241,59.72337831181012,58.91324467654207,59.36622619628906,164800,0.0,0,0.0,0.9642975381336685,61.0649019241333,64.25814649035358,57.87165735791302,59.647661315418034,,,,59.94985961914063
2017-05-24,59.27038417938697,59.7494911685366,58.73900601891216,59.01776123046875,188600,0.0,0,-0.005869751004016099,0.9586373516910381,60.900288581848145,64.15929217591113,57.64128498778516,59.43518790330096,,,,60.29830932617188
2017-05-25,59.32265564794577,59.36621385480686,59.04390040376293,59.16585540771485,216800,0.0,0,0.0025093154019817376,0.9610428751625515,60.72313346862793,63.95438917311786,57.491877764137996,59.26607697626631,61.00052769399801,,,60.15892791748047
2017-05-26,59.12231433163979,59.35751141067135,58.92195584901626,59.32266616821289,123900,0.0,0,0.002650359052826179,0.9635899838468927,60.571163177490234,63.765075060335185,57.37725129464528,59.00591514701499,61.00052769399801,,,60.40283584594727
2017-05-30,59.32265369777164,59.48816690314354,58.92194346280984,58.93065643310547,325000,0.0,0,-0.006608093675288584,0.9572224909690625,60.37010612487793,63.44189054679606,57.2983217029598,58.823100133021036,61.00052769399801,,,60.028263092041016
2017-05-31,59.07004095146926,59.5055964969508,58.60835313662687,59.37493515014648,286600,0.0,0,0.007539008453865126,0.9644389994207081,60.17912216186524,62.985466324292425,57.37277799943805,58.90017425722924,61.00052769399801,,,61.43074417114258
