Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,moving_average,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-04-20,33.45000076293945,33.95000076293945,33.20000076293945,33.900001525878906,384300,0,0,,,,,,,,,,37.09999847412109
2017-04-21,33.79999923706055,33.95000076293945,33.380001068115234,33.54999923706055,342200,0,0,-0.010324550827856771,0.9896754491721432,,,,,,,,37.150001525878906
2017-04-24,34.0,34.400001525878906,33.630001068115234,34.29999923706055,656800,0,0,0.022354694994196178,1.0117993419816307,,,,,,,,38.20000076293945
2017-04-25,34.54999923706055,35.75,34.150001525878906,35.349998474121094,787900,0,0,0.03061222333573821,1.0427727694093254,,,,,,,,36.650001525878906
2017-04-26,35.20000076293945,35.33000183105469,34.20000076293945,34.349998474121094,1014500,0,0,-0.028288544361100176,1.0132742456633423,,,,,,,,37.04999923706055
2017-04-27,34.599998474121094,34.79999923706055,34.349998474121094,34.5,368000,0,0,0.004366856842567657,1.017699069236415,,,,,,,,35.849998474121094
2017-04-28,34.5,34.54999923706055,33.900001525878906,34.150001525878906,416300,0,0,-0.010144883307857788,1.0073746309364962,,,,,,,,36.34999847412109
2017-05-01,34.150001525878906,35.0,33.880001068115234,34.79999923706055,593500,0,0,0.019033607090443994,1.0265486038546225,,,,,,,,36.400001525878906
2017-05-02,34.79999923706055,34.95000076293945,34.150001525878906,34.349998474121094,403400,0,0,-0.012931056689800768,1.0132742456633426,,,,34.47500038146973,,,,37.400001525878906
2017-05-03,34.0,34.25,33.5099983215332,33.70000076293945,371900,0,0,-0.01892278719230056,0.9941002727452163,,,,34.56500053405762,,,,35.45000076293945
2017-05-04,33.900001525878906,34.08000183105469,33.45000076293945,33.95000076293945,257300,0,0,0.007418397458166526,1.001474903681712,,,,34.60000038146973,,,,35.54999923706055
2017-05-05,34.04999923706055,34.400001525878906,33.95000076293945,34.04999923706055,252000,0,0,0.002945463089068845,1.0044247110451354,,,,34.60000038146973,,,,36.5
2017-05-08,34.099998474121094,34.29999923706055,33.650001525878906,33.75,306200,0,0,-0.008810550478192791,0.995575176426928,,,,34.39000129699707,,,,36.0
2017-05-09,33.75,34.400001525878906,33.75,34.25,326800,0,0,0.014814814814814836,1.0103244382999197,,,,34.22500038146973,,,,35.70000076293945
2017-05-10,34.75,35.849998474121094,34.599998474121094,35.45000076293945,442400,0,0,0.03503651862596935,1.0457226893006868,,,,34.64999961853027,,,,35.70000076293945
2017-05-11,35.29999923706055,35.900001525878906,34.849998474121094,35.54999923706055,357300,0,0,0.002820831367248866,1.04867249666411,,,,34.67500114440918,,,,36.20000076293945
2017-05-12,35.5,35.900001525878906,35.25,35.54999923706055,255500,0,0,0.0,1.04867249666411,,,,34.67500114440918,,,,35.70000076293945
2017-05-15,35.75,36.650001525878906,35.75,36.45000076293945,329800,0,0,0.025316499161571304,1.0752212130466698,,,,35.05000114440918,,,,35.75
2017-05-16,36.5,37.0,36.25,36.95000076293945,277900,0,0,0.01371742083770755,1.0899704749196615,,,,35.22500038146973,,,,35.400001525878906
2017-05-17,36.34999847412109,36.650001525878906,34.630001068115234,34.70000076293945,534200,0,0,-0.06089309752482419,1.0235987964911997,34.679999923706056,36.49857449064826,32.86142535676385,35.32500076293945,,,,35.79999923706055
2017-05-18,34.650001525878906,35.54999923706055,34.5,35.45000076293945,349800,0,0,0.02161383237780856,1.045722689300687,34.757499885559085,36.56851957035937,32.9464802007588,35.32500076293945,,,,35.45000076293945
2017-05-19,35.650001525878906,35.849998474121094,35.150001525878906,35.25,322400,0,0,-0.00564177034231661,1.0398229620459027,34.84249992370606,36.575939941254255,33.10905990615786,35.375,,,,34.849998474121094
2017-05-22,35.349998474121094,36.45000076293945,35.25,36.45000076293945,292000,0,0,0.03404257483516182,1.07522121304667,34.95,36.79960723621825,33.100392763781755,35.75,,,,36.25
2017-05-23,36.59999847412109,36.59999847412109,35.900001525878906,36.400001525878906,187900,0,0,-0.0013717211526476092,1.0737463093649586,35.00250015258789,36.952539988819105,33.05246031635668,35.75,,,,36.0
2017-05-24,36.54999923706055,36.75,36.25,36.70000076293945,182600,0,0,0.00824173693639163,1.082595843983166,35.12000026702881,37.17994018406641,33.060060349991204,35.75,,,,35.75
