Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,moving_average,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-04-19,25.01262855529785,25.340524685384214,24.9453677695462,25.01262855529785,94000,0.0,0,,,,,,,,,,26.1224308013916
2017-04-20,25.290082824046703,25.760908386248364,25.1303378355122,25.68523979187012,138900,0.0,0,0.026890865751484805,1.0268908657514848,,,,,,,,25.902565002441406
2017-04-21,25.54230673698583,25.76090468896875,25.31530259005522,25.48345375061035,116900,0.0,0,-0.007856108912934423,1.0188234992684435,,,,,,,,25.631954193115234
2017-04-24,26.17287611261081,26.51758942525459,25.69364283927163,26.248544692993164,142100,0.0,0,0.030023047498594524,1.0494116855796642,,,,,,,,25.58120918273925
2017-04-25,26.551221782157555,26.77822754696713,26.18969443900683,26.35784721374512,113800,0.0,0,0.004164136413289832,1.0537815789921183,,,,,,,,26.020959854125977
2017-04-26,26.425108544468408,28.09822050892201,26.425108544468408,27.980514526367188,357700,0.0,0,0.06156296830554031,1.1186555009405723,,,,,,,,26.08015251159668
2017-04-27,28.15707583379942,28.20751942061636,26.685743079397334,26.76141166687012,345700,0.0,0,-0.04356970842506336,1.0699160069364984,,,,,,,,26.122432708740234
2017-04-28,26.90434311445025,27.24064868627993,26.28218037236344,26.298995971679688,303400,0.0,0,-0.017279196663713026,1.051428717838988,,,,,,,,24.98925018310547
2017-05-01,26.61848531454255,27.04727188742949,26.324218730236243,26.72778511047364,164300,0.0,0,0.016304391972062238,1.0685716237853178,,,,26.57644359508128,,,,25.479734420776367
2017-05-02,26.761417634004253,26.887531440037925,26.31581380881964,26.492374420166016,111400,0.0,0,-0.00880771411976733,1.0591599504065212,,,,26.66892862806428,,,,26.44378471374512
2017-05-03,26.433514983439085,27.005230871872588,26.39988378808341,26.98000907897949,107700,0.0,0,0.01840660452248044,1.078655488739704,,,,26.76141100533579,,,,27.28944969177246
2017-05-04,27.240645690716704,27.349942263381887,27.030455533248976,27.19019889831543,120700,0.0,0,0.007790576301166086,1.0870588366274023,,,,26.950581129943995,,,,27.03574562072754
2017-05-05,27.3079057264762,27.3079057264762,26.677335234373075,26.828672409057617,133100,0.0,0,-0.013296206129636334,1.0726050782605616,,,,27.198606929811596,,,,27.14568328857422
2017-05-08,26.85389786510616,27.08931144417985,26.71937627809943,27.030458450317383,66500,0.0,0,0.007521283132580159,1.0806724447436027,,,,27.244849896489903,,,,27.06957244873047
2017-05-09,27.047271933090464,27.307908921597587,26.744599151931293,26.92115974426269,94400,0.0,0,-0.00404353874558161,1.0763027038419994,,,,27.244849896489903,,,,27.34018898010254
2017-05-10,26.795042956046583,26.971603528638,26.559629393799263,26.62689018249512,85300,0.0,0,-0.0109307906703493,1.0645378642883716,,,,26.816061317872666,,,,26.714399337768555
2017-05-11,26.500776686145887,26.61007486758083,26.00472776287652,26.22332572937012,118500,0.0,0,-0.015156274366216027,1.0484034363439914,,,,26.677335013129202,,,,27.094945907592773
2017-05-12,26.038360443550367,26.164475841823347,25.718872056864456,25.979507446289062,91600,0.0,0,-0.009297763586408214,1.038655629049687,,,,26.534407160123173,,,,26.69748306274414
2017-05-15,26.080395301839985,26.5007756196506,26.080395301839985,26.450328826904297,122200,0.0,0,0.0181227985784036,1.0574789758072793,,,,26.534407160123173,,,,26.207002639770508
2017-05-16,26.610078148627064,26.610078148627064,25.929062371411906,26.44192695617676,127700,0.0,0,-0.00031764711820858604,1.057143070658048,26.48606367111206,27.756655350203847,25.215471992020273,26.534407160123173,,,,26.07169532775879
2017-05-17,26.44191986536141,26.44191986536141,25.2312242277162,25.290077209472656,199800,0.0,0,-0.0435614903790148,1.0110923429563352,26.4999361038208,27.709844340551566,25.290027867090036,26.269566574656892,,,,26.207002639770508
2017-05-18,25.26485579862744,25.76090468896875,25.19759501368065,25.48345375061035,165300,0.0,0,0.007646340481129998,1.0188234992684428,26.489846801757814,27.73007927624826,25.249614327267366,26.25275196763912,,,,26.232372283935547
2017-05-19,25.399385452270508,25.76932068902721,25.248049840693056,25.399385452270508,425400,0.0,0,-0.0032989366026506817,1.0154624651350654,26.48564338684082,27.740134079012808,25.231152694668832,26.25275196763912,,,,26.300025939941406
2017-05-22,25.433009277182265,25.69364462571893,25.28167210589528,25.46664047241211,120100,0.0,0,0.0026478995040248865,1.0181513076928526,26.446548175811767,27.775512753650442,25.11758359797309,26.084599271159327,,,,26.72285461425781
2017-05-23,25.466640122614745,26.088802793208227,25.323710752098428,26.00472640991211,111700,0.0,0,0.021129050692135998,1.0396638782853593,26.428892135620117,27.771562665115663,25.08622160612457,25.903836581153858,,,,26.84970092773437
2017-05-24,26.0467633875121,26.172877158648493,25.88702002576369,26.021541595458984,166800,0.0,0,0.0006466203597690345,1.0403361461163751,26.330943489074706,27.475819400592805,25.186067577556607,25.903836581153858,26.57644359508128,,,26.6129150390625
2017-05-25,26.1980993814104,26.298991355976643,25.94587185043009,26.1224308013916,150300,0.0,0,0.0038771417735767866,1.0443696768470447,26.29899444580078,27.429453469632353,25.168535421969207,25.903836581153858,26.66892862806428,,,27.382471084594727
2017-05-26,26.08861123411021,26.164720762889548,25.775716325465325,25.902565002441406,93500,0.18,0,-0.008416743473141142,1.035579485185896,26.279172897338867,27.422905460099702,25.135440334578032,25.903836581153858,26.702557217148506,,,27.34018898010254
2017-05-30,25.733434102998505,25.877196367768214,25.22603777951904,25.631954193115234,138400,0.0,0,-0.010447259153704147,1.0247605179298993,26.224381351470946,27.381960118542437,25.066802584399454,25.81975743952103,26.702557217148506,,,26.985010147094727
2017-05-31,25.63194831956983,25.657318694469154,25.26831434418657,25.58120918273925,143900,0.0,0,-0.0019797558154818207,1.0227317423350515,26.17882308959961,27.362340726254427,24.995305452944795,25.748293184828647,26.702557217148506,,,27.25561714172364
2017-06-01,25.70806492918437,26.02941664809397,25.496649918890142,26.020959854125977,91200,0.0,0,0.017190378619140745,1.0403128882116046,26.130870628356934,27.25633455746014,25.00540669925373,25.762514567747843,26.702557217148506,,,26.883529663085938
2017-06-02,25.885651113754843,26.283110702340554,25.691148102944684,26.08015251159668,219400,0.0,0,0.0022748068404292443,1.0426793990858951,26.075368309020995,27.089192740199756,25.061543877842233,25.762514567747843,26.702557217148506,,,26.689027786254883
2017-06-05,26.19008543340865,26.33384767495009,26.054779984071807,26.122432708740234,112200,0.0,0,0.0016211637230554299,1.0443697531024705,26.04005632400513,26.9932140355862,25.086898612424058,25.779942727234562,26.27376863853127,,,26.57063674926757
2017-06-06,25.80954134411733,25.84336690243411,24.972338210431232,24.98925018310547,407300,0.0,0,-0.04337967057928782,0.9990653372499132,25.93799591064453,26.882092079704,24.99389974158506,25.653092942690662,26.16114023690656,,,26.545265197753903
2017-06-07,25.039992458187253,25.75034696855912,25.039992458187253,25.479734420776367,130600,0.0,0,0.019627809321085543,1.0186748011887605,25.865924644470216,26.71288094449968,25.01896834444075,25.653092942690662,26.16114023690656,,,26.13934898376465
2017-06-08,25.4797313581368,27.05265924389126,25.4797313581368,26.44378471374512,165200,0.0,0,0.03783596316383342,1.0572173434424639,25.856769371032716,26.6737332797888,25.039805462276632,26.012498727161244,26.16114023690656,,,26.342309951782227
2017-06-09,26.68903022872426,27.763020472279592,26.46915842626777,27.28944969177246,350600,0.0,0,0.03197972556431283,1.0910268639475857,25.91007556915283,26.93173164217875,24.88841949612691,26.367679341355412,26.367679341355412,,,26.173173904418945
2017-06-12,27.34864048415631,27.74610165767136,26.773591511131464,27.03574562072754,220900,0.0,0,-0.009296782233077061,1.0808838247830281,25.962887477874755,27.09766889428317,24.82810606146634,26.367679341355412,26.367679341355412,,,26.342309951782227
2017-06-13,27.28098875245363,27.47549338109596,26.89198594704241,27.14568328857422,174400,0.0,0,0.004066381944442865,1.0852791112521663,25.997655200958253,27.229590667712156,24.76571973420435,26.367679341355412,26.367679341355412,,,26.300025939941406
2017-06-14,26.917355018985727,27.069572448730472,26.426872333003903,27.06957244873047,93700,0.0,0,-0.0028037916391585593,1.082236214753884,26.029037475585938,27.3352119989395,24.722862952232376,26.367679341355412,26.367679341355412,,,26.283105850219727
2017-06-15,27.094946809181767,27.830670096007232,27.094946809181767,27.34018898010254,143500,0.0,0,0.009997074460064592,1.093055410776157,26.13154306411743,27.510231485486624,24.752854642748236,26.401504153219232,26.401504153219232,,,26.46070098876953
2017-06-16,27.07803339323997,27.16259810225975,26.672116983258665,26.714399337768555,349900,0.0,0,-0.022889002076372567,1.0680364632093113,26.19309034347534,27.56028752741484,24.82589315953584,26.401504153219232,26.401504153219232,,,26.81587600708008
2017-06-19,27.11185949391453,27.450121542539343,26.91735647715112,27.094945907592773,207500,0.0,0,0.01424499817542979,1.0832506406790205,26.277868366241456,27.647992760708153,24.90774397177476,26.43533127709724,26.401504153219232,,,25.327516555786133
2017-06-20,26.91735483258836,27.16259536739689,26.58754798430617,26.69748306274414,100600,0.0,0,-0.014669261426251912,1.0673601538407451,26.339410495758056,27.667742936794603,25.01107805472151,26.655200727072014,26.401504153219232,,,26.097064971923828
2017-06-21,26.69748536464608,26.72285574476613,26.1900890530238,26.207002639770508,105500,0.0,0,-0.018371785153713183,1.0477508424127486,26.349524307250977,27.670489959196725,25.02855865530523,27.010379574515518,26.401504153219232,,,25.75034523010254
2017-06-22,26.19008720067539,26.25773992990892,25.927933076516503,26.07169532775879,156500,0.0,0,-0.005163021268459911,1.0423412825293248,26.352031993865968,27.670660658977813,25.033403328754122,26.879301586261867,26.401504153219232,,,26.15625762939453
2017-06-23,26.130893112378747,26.40150404845238,25.85182538293176,26.207002639770508,333800,0.0,0,0.005189816400917202,1.0477508424127486,26.356260585784913,27.672430499272615,25.04009067229721,26.841247739469495,26.401504153219232,,,26.240827560424805
2017-06-26,26.16471955181515,26.43533048029673,25.97021653562169,26.232372283935547,126800,0.0,0,0.0009680482928078327,1.0487651158270344,26.37275094985962,27.673784483221134,25.071717416498103,26.841247739469495,26.401504153219232,,,25.87719345092773
2017-06-27,26.30848273337458,26.672116786158835,26.10552452988373,26.300025939941406,165900,0.0,0,0.0025790140241068737,1.0514698957687463,26.406154537200926,27.66245388666968,25.14985518773217,26.841247739469495,26.401504153219232,,,25.75880241394043
2017-06-28,26.570635565913904,26.925812807726903,26.469155662695183,26.72285461425781,104800,0.0,0,0.016077120048549443,1.0683745035104562,26.463236808776855,27.66648002547365,25.25999359208006,26.65097346273555,26.401504153219232,,,26.08015251159668
2017-06-29,27.348640381098235,27.348640381098235,26.50298050935857,26.84970092773437,126900,0.0,0,0.004746735156388793,1.0734457943264586,26.504673862457274,27.70112644505236,25.308221279862188,26.65097346273555,26.401504153219232,,,25.94484519958496
2017-06-30,27.044201758391253,27.044201758391253,26.519893551890693,26.6129150390625,102800,0.0,0,-0.008818939522238223,1.0639791407858925,26.531311988830566,27.71222687760822,25.350397100052913,26.600232882015,26.401504153219232,26.24014008811757,,25.77571487426757
2017-07-03,26.75668127932132,27.44166702518233,26.731312512194293,27.382471084594727,92900,0.0,0,0.028916638572011655,1.0947458410481576,26.59431390762329,27.815455699287558,25.373172115959026,26.646746204057045,26.401504153219232,26.286382604609067,,25.386707305908203
2017-07-05,27.48394962971598,27.48394962971598,26.85816143170328,27.34018898010254,101000,0.0,0,-0.0015441303438817888,1.0930554107761568,26.711860847473144,27.725226816195892,25.698494878750395,26.667887506323872,26.401504153219232,26.30319689915118,,24.89622688293457
2017-07-06,27.331730613895992,27.45858090274832,26.86661826466554,26.985010147094727,99400,0.0,0,-0.012991089171559889,1.0788554304653077,26.787124633789062,27.63100757986001,25.943241687718114,26.667887506323872,26.401504153219232,26.261157328334768,,24.69327163696289
2017-07-07,27.10339810750257,27.30635789510945,26.87507116913917,27.25561714172364,57300,0.0,0,0.010028048651967936,1.0896742452104538,26.827716255187987,27.679783505778612,25.97564900459736,26.727083082668834,26.401504153219232,26.225425200988575,,25.386707305908203
2017-07-10,27.21333651612941,27.23025010166197,26.858159284787096,26.883529663085938,153500,0.0,0,-0.013651772282495922,1.07479826055274,26.807420253753662,27.633178302067172,25.981662205440152,26.794737079799855,26.401504153219232,26.232535892448176,,25.20912170410156
2017-07-11,26.951183534212657,27.001922679991942,26.494526383293977,26.689027786254883,102900,0.0,0,-0.007234982878685292,1.0670221135396,26.79008436203003,27.61042238316227,25.96974634089779,26.976552646205583,26.401504153219232,26.232535892448176,,25.07381629943848
2017-07-12,26.53680957569869,26.86661806612167,26.443788074321084,26.57063674926757,104400,0.0,0,-0.004435944161603533,1.0622888630247422,26.761332035064697,27.569899529786905,25.95276454034249,26.963868852018532,26.401504153219232,26.026855682882918,,24.46494102478028
2017-07-13,26.56217878379202,26.90044243971257,26.39304614934757,26.545265197753903,89700,0.0,0,-0.0009548717914849014,1.0612745133550314,26.73511667251587,27.535885710565005,25.934347634466732,26.938497889531774,26.43533127709724,25.907116589798612,,24.617158889770508
2017-07-14,26.21545850847188,26.502983021150648,25.80954211867891,26.13934898376465,120900,0.0,0,-0.015291473299110292,1.0450460624710367,26.675074672698976,27.465260655228185,25.884888690169767,26.646745874197443,26.655200727072014,25.907116589798612,,24.507226943969727
