Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-04-17,106.70378935551506,107.49329905597543,106.70378935551506,107.4840087890625,1168300,0.0,0
2017-04-18,107.27965672843497,108.07844954458008,107.1774850598771,107.96698760986328,1978100,0.0,0
2017-04-19,108.0877422338062,109.00728018504408,107.74407324218942,108.62645721435547,2185400,0.0,0
2017-04-20,109.27664663148714,111.3293562437068,109.02585903192885,110.72561645507812,3743500,0.0,0
2017-04-21,111.21788366831798,111.44080753247945,110.55841651456596,110.74418640136719,2639000,0.0,0
2017-04-24,111.40365889657197,111.93309069814599,110.63272977377561,110.86493682861328,2106800,0.0,0
2017-04-25,110.88350902084164,111.40365763654484,110.23333210920872,110.24262237548828,1947200,0.0,0
2017-04-26,110.27977872161244,110.9578193602429,109.97326370537823,110.5119857788086,1581400,0.0,0
2017-04-27,110.6420149383422,112.03525720312443,110.6420149383422,111.91450500488281,2008200,0.0,0
2017-04-28,111.635862628094,112.71329964553995,111.48724671595154,112.66686248779297,2476600,0.0,0
2017-05-01,112.7318919384108,113.02911670730671,112.48110433210638,112.62042999267578,1931900,0.0,0
2017-05-02,112.65758159958712,113.04768777183942,111.6544453683121,112.09099578857422,2697100,0.0,0
2017-05-03,111.85877458859434,112.26746124297425,111.15286320913717,111.73802947998047,1762100,0.0,0
2017-05-04,112.15599824363531,112.3789150137174,111.66372046177239,112.22101593017578,1557500,0.0,0
2017-05-05,112.30462187491473,112.87120056152344,112.17457940649008,112.87120056152344,1716900,0.0,0
2017-05-08,112.48108143891511,112.87118753999346,112.16528328653627,112.49037170410156,1522100,0.0,0
2017-05-09,112.66686541918743,112.97337334476178,112.30462298191117,112.45323181152344,1094400,0.0,0
2017-05-10,112.4532218736913,112.7318731483848,111.97951754127085,112.57396697998047,1343600,0.0,0
2017-05-11,112.15600936697626,112.29533501949415,111.15287317252391,112.20245361328125,1835200,0.0,0
2017-05-12,111.81232930687376,112.85261937817029,111.81232930687376,112.3510513305664,2362300,0.0,0
2017-05-15,112.35104341247758,113.8185934757729,112.16528063152197,113.54923248291016,1772200,0.0,0
2017-05-16,113.95793042668032,114.53379935669422,113.52138005302685,114.37590026855469,2180600,0.0,0
2017-05-17,114.37591365675236,114.37591365675236,111.7751916421848,111.86808013916016,2277900,0.0,0
2017-05-18,112.25817748255669,112.41607657675493,110.91137941915345,111.83091735839844,1968800,0.0,0
2017-05-19,112.39751550984367,112.58327833684261,111.63587658091188,112.3696517944336,2190100,0.0,0
2017-05-22,112.9455167719346,114.09726184822547,112.59256457869637,113.97651672363281,1912500,0.0,0
2017-05-23,114.1158423464501,114.31089543368377,113.13128664334752,113.45637512207031,1472300,0.0,0
2017-05-24,111.85877604494077,113.45636162042953,111.73803093475486,113.27059173583984,2026900,0.0,0
2017-05-25,114.01365667835744,114.76600522056367,113.50279835562698,114.3387451171875,1425500,0.0,0
2017-05-26,114.19014389165947,114.34804298867988,113.80003065271907,114.1436996459961,1414500,0.0,0
2017-05-30,113.88363013510973,115.14683709801487,113.64213281050804,114.96106719970703,1373000,0.0,0
2017-05-31,115.17468622452671,115.73198167607583,114.73813587678778,115.61123657226562,2655600,0.0,0
2017-06-01,116.03851554446747,116.37289428710939,115.04466958339218,116.37289428710938,1902600,0.0,0
