Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-04-17,10.810518018895351,11.077322856712529,10.682057477413375,11.0674409866333,1301300,0.0,0
2017-04-18,11.008152802709702,11.136614300019543,10.85004569206037,11.08720588684082,1377800,0.0,0
2017-04-19,11.186021352463058,11.284838175124834,11.067441730701162,11.235429763793945,1322200,0.0,0
2017-04-20,11.324363189165206,11.76903694642616,11.16625704812904,11.739392280578613,1835500,0.0,0
2017-04-21,11.709748965467995,11.719629893632332,11.462707856005691,11.591168403625488,1593300,0.0,0
2017-04-24,11.818445351096695,11.838208147532749,11.482469330201374,11.739392280578613,1059600,0.0,0
2017-04-25,11.818447553689232,12.006198395563887,11.699867925812537,11.956790924072266,1152400,0.0,0
2017-04-26,11.93702596994917,11.93702596994917,11.680102997767309,11.83820915222168,1285800,0.0,0
2017-04-27,11.838210714507579,12.332292983574915,11.778921369956295,12.18406867980957,2225400,0.0,0
2017-04-28,12.184066970829457,12.184066970829457,10.869808394843844,11.640576362609863,4106500,0.0,0
2017-05-01,11.689985954739775,12.085251377620294,11.689985954739775,11.946908950805664,1656100,0.0,0
2017-05-02,11.927143280171398,11.937025149742556,11.472587646154611,11.571404457092285,1839400,0.0,0
2017-05-03,11.521997194539898,11.620814015279638,11.383654776368717,11.591168403625488,1001300,0.0,0
2017-05-04,11.610932536393321,11.887618324456014,11.502234783822603,11.81844711303711,1139000,0.0,0
2017-05-05,11.897499085487528,11.897499085487528,11.482469970915767,11.709748268127441,1113500,0.0,0
2017-05-08,11.689985224365229,11.769038304002201,11.531879065091282,11.591168403625488,707600,0.0,0
2017-05-09,11.640576459153717,11.927144099699017,11.640576459153717,11.83820915222168,880700,0.0,0
2017-05-10,11.956790478261995,12.114896642869248,11.72951215984876,11.81844711303711,1110400,0.0,0
2017-05-11,11.778919967867786,11.93702612436743,11.601050070612173,11.759156227111816,1363800,0.0,0
2017-05-12,11.739394001170032,11.798683341554904,11.482471013136719,11.531879425048828,1004300,0.0,0
2017-05-15,11.571407115264455,11.640578333378599,11.452827480331422,11.551643371582031,1214200,0.0,0
2017-05-16,11.630696248873049,11.630696248873049,11.423181672751845,11.531879425048828,1188800,0.0,0
2017-05-17,11.344127496589813,11.354009367317529,10.642531637889034,10.76111125946045,3167100,0.0,0
2017-05-18,10.75122984266876,10.919217882584451,10.60300460265586,10.711703300476074,1223200,0.0,0
2017-05-19,10.622767642909531,10.938979959553219,10.622767642909531,10.830282211303711,1117700,0.0,0
2017-05-22,10.859926575892095,11.018032729780819,10.790755369162532,10.988388061523438,923400,0.0,0
2017-05-23,11.027916248027795,11.136614951860688,10.88957381389452,11.057560920715332,895300,0.0,0
2017-05-24,11.146494161403139,11.284837516578952,11.047678286894994,11.265073776245117,886400,0.0,0
2017-05-25,11.304600624095414,11.452825853497203,11.225547545369274,11.294719696044922,1278300,0.0,0
2017-05-26,11.284838055544466,11.610932247530966,11.047678814533747,11.60105037689209,1014900,0.0,0
2017-05-30,11.58128657876521,11.6603396522814,11.442943228918397,11.502233505249023,1048600,0.0,0
2017-05-31,11.581286408881336,11.620812945059622,11.106967032354945,11.20578384399414,1637700,0.0,0
2017-06-01,11.235430615694522,11.363892117940303,11.10696911344874,11.22554874420166,821100,0.0,0
2017-06-02,11.26507317706809,11.33424532217031,11.136612641278878,11.20578384399414,1137200,0.0,0
2017-06-05,11.15637751015275,11.472589858306442,11.126732838110122,11.413300514221191,695700,0.0,0
2017-06-06,11.383654776368717,11.729511764183714,11.265074214526212,11.591168403625488,1062700,0.0,0
2017-06-07,11.620814205601166,11.97655306979371,11.620814205601166,11.798683166503906,947400,0.0,0
2017-06-08,11.857974517260805,12.105015653037071,11.749276756778618,12.095133781433105,792300,0.0,0
